claim_id,section,verdict,artifact_path,artifact_value,claim_value,note
R260,Appendix A -- Reproducibility,mismatched,results/_modal_spend.json,total_seconds 6979.14 (~116.3 GPU-minutes),130,"Ledger sums to ~116 GPU-min across recorded runs, report claims ~130 -- ~12% high. (recheck) report/report.md line 518 states '~130 GPU-minutes'. results/_modal_spend.json total_seconds=7133.54 = 118.9 min (stored) / ~119.6 min recomputed over all runs; ~114.5 min excluding the 2026-07-05 runs. Actual is ~115-120 min, which rounds to 120, not 130 (~8-13% overstatement). Mismatched."
R261,Appendix A -- Reproducibility,matched,report/report.md,100%-agreement matrix,100%,Verbatim from Appendix A total-compute sentence; only the $/minute figures (R259/R260) diverge from ledger.
R262,Appendix B -- Datasets models and artifacts,matched,report/report.md,"financial_phrasebank (75%-agree split), 690 test",75%,Verbatim Table 9 FPB row.
R263,Appendix B -- Datasets models and artifacts,matched,results/summary/final_table.csv,FPB n_samples=690 (finbert/finbert_tone/vader rows),690,Matches final_table.csv FPB baseline rows (n=690).
R264,Appendix B -- Datasets models and artifacts,matched,src/data_loader.py,load_fiqa(neutral_band: float = 0.10),0.10,configs/experiment.yaml also sets neutral_band: 0.10; matches Table 9 FiQA row.
R265,Appendix B -- Datasets models and artifacts,matched,results/summary/ner_table.csv,FIN n_total=98 (mistral7b/plutus8b rows),98,Matches Table 9 FIN/Alvarado row and ner_table.csv n_total=98.
R266,Appendix B -- Datasets models and artifacts,matched,report/report.md,TheFinAI/plutus-8B-instruct (substitute for FinLLaMA-instruct),8B,Verbatim Table 9 Model-under-test row.
R267,Appendix B -- Datasets models and artifacts,matched,results/summary_ner/final_table_ner.csv,"Qwen/Qwen3-8B and mistralai/Mistral-7B-Instruct-v0.3, Qwen/Qwen2.5-7B-Instruct rows present",7B,Model ids confirmed in final_table_ner.csv/final_table.csv.
R268,Appendix B -- Datasets models and artifacts,matched,results/summary_ner/final_table_ner.csv,"Qwen/Qwen3-8B and mistralai/Mistral-7B-Instruct-v0.3, Qwen/Qwen2.5-7B-Instruct rows present",7B,Duplicate 7B mention in same Table 9 cell; same evidence as R267.
R269,Appendix B -- Datasets models and artifacts,matched,results/summary_ner/final_table_ner.csv,qwen3_8b row: Qwen/Qwen3-8B,8B,Confirmed model id in final_table_ner.csv row 8.
R270,Appendix B -- Datasets models and artifacts,matched,results/summary_ner/final_table_ner.csv,qwen3_4b row: Qwen/Qwen3-4B-Instruct-2507,4B,Confirmed model id in final_table_ner.csv row 7.
R271,Appendix B -- Datasets models and artifacts,matched,results/summary_ner/final_table_ner.csv,qwen3_4b row: Qwen/Qwen3-4B-Instruct-2507,2507,Confirmed model id string in final_table_ner.csv row 7.
R035,3. Objective,matched,report/report.md,4-bit (bitsandbytes) for every 7-8B model,8B,Verbatim Table 1 cell text; report.md line 103.
R036,3. Objective,matched,report/report.md,Two 8B models will not coexist on a 16 GB T4 otherwise.,8B,Verbatim Table 1 cell text; report.md line 103.
R037,3. Objective,matched,report/report.md,16 GB T4,16,Verbatim Table 1 cell text; report.md line 103.
R038,3. Objective,matched,report/report.md,FinLLaMA-instruct (404),404,Matches report.md lines 106-109 list of unevaluated models.
R039,3. Objective,matched,report/report.md,"LLaMA-3.1-8B-Instruct (gated, no access)",3.1,Matches report.md lines 106-109.
R040,3. Objective,matched,report/report.md,LLaMA-3.1-8B-Instruct,8B,Matches report.md lines 106-109.
R041,3. Objective,matched,report/report.md,"FinMA-7B-full (gated, 403)",7B,Matches report.md lines 106-109.
R042,3. Objective,matched,report/report.md,"FinMA-7B-full (gated, 403)",403,Matches report.md lines 106-109.
R043,3. Objective,matched,report/report.md,LLaMA-3.1-8B-Instruct,8B,Duplicate 8B mention in same sentence; still matches report.md lines 106-109.
R044,4. System design,matched,results/summary/final_table.csv,coverage=1.0 (finbert/vader all rows),100%,"FinBERT/VADER/GLiNER coverage=1.0 in final_table.csv; report.md line 129 states ""always 100% coverage""."
R045,4. System design,matched,report/report.md,a hard $7 budget guard,$7,Verbatim design/config statement; report.md line 136 (not the realized spend).
R046,5. Experimental design,matched,results/summary/final_table.csv,seed=42 (all 26 rows),42,"All final_table.csv rows show seed=42; report.md line 155 ""seed = 42 everywhere""."
R047,5. Experimental design,matched,results/summary/bootstrap_ci.csv,"95% CI columns ci_lo/ci_hi present, halfwidths ~0.02-0.05",95%,bootstrap_ci.csv exists with per-run 95% CIs; report.md line 157 confirms 2000 resamples.
R048,6. Results,matched,results/summary/final_table.csv,model=finbert,FinBERT (110M),Row label matches final_table.csv finbert rows.
R049,6. Results,matched,results/summary/final_table.csv,f1_macro=0.9254 (FPB),0.925,Rounds to printed precision; also recomputed_metrics.csv f1_macro=0.9254.
R050,6. Results,matched,results/summary/final_table.csv,accuracy=0.9348 (FPB),0.935,Claim column mislabels as f1_macro but is the Acc cell; rounds to 0.935.
R051,6. Results,matched,results/summary/final_table.csv,f1_macro=0.482 (FiQA),0.482,Exact match; recomputed_metrics.csv agrees.
R052,6. Results,matched,results/summary/final_table.csv,accuracy=0.4979 (FiQA),0.498,Acc cell rounds to 0.498.
R053,6. Results,matched,results/summary/final_table.csv,model=finbert_tone,FinBERT-tone (110M),Row label matches final_table.csv finbert_tone rows.
R054,6. Results,matched,results/summary/final_table.csv,f1_macro=0.8552 (FPB),0.855,Rounds to printed precision.
R055,6. Results,matched,results/summary/final_table.csv,accuracy=0.8812 (FPB),0.881,Acc cell rounds to 0.881.
R056,6. Results,matched,results/summary/final_table.csv,f1_macro=0.3955 (FiQA),0.396,Rounds to printed precision.
R057,6. Results,matched,results/summary/final_table.csv,accuracy=0.3887 (FiQA),0.389,Acc cell rounds to 0.389.
R058,6. Results,matched,results/summary/final_table.csv,model=mistral7b,Mistral-7B-Instruct-v0.3 (general),Row label matches final_table.csv mistral7b.
R059,6. Results,matched,results/summary/final_table.csv,f1_macro=0.8897 (FPB A/3shot best cell),0.890,Best-of-template cell rounds to 0.890; recomputed_metrics.csv agrees.
R060,6. Results,matched,results/summary/final_table.csv,accuracy=0.9033 (FPB A/3shot),0.903,Best cell rounds to 0.903.
R061,6. Results,matched,results/summary/final_table.csv,f1_macro=0.5989 (FiQA A/0shot best cell),0.599,Best cell exact-rounds to 0.599.
R062,6. Results,matched,results/summary/final_table.csv,accuracy=0.62 (FiQA A/0shot),0.620,Best cell exact match.
R063,6. Results,matched,results/summary/final_table.csv,model=qwen25_7b,Qwen2.5-7B-Instruct (general),Row label matches final_table.csv qwen25_7b.
R064,6. Results,matched,results/summary/final_table.csv,f1_macro=0.8324 (FPB A/3shot best cell),0.832,Best cell rounds to 0.832.
R065,6. Results,matched,results/summary/final_table.csv,accuracy=0.86 (FPB A/3shot),0.860,Best cell exact match.
R066,6. Results,matched,results/summary/final_table.csv,f1_macro=0.6727 (FiQA B/0shot best cell),0.673,Best cell rounds to 0.673.
R067,6. Results,matched,results/summary/final_table.csv,accuracy=0.7167 (FiQA B/0shot),0.717,Best cell rounds to 0.717.
R068,6. Results,matched,results/summary/final_table.csv,model=plutus8b,plutus-8B-instruct (financial),Row label matches final_table.csv plutus8b.
R069,Results-sentiment,matched,results/summary/final_table.csv,f1_macro=0.8291 (plutus8b FPB A/3shot),0.829,Rounds to 0.829; also matches recomputed_metrics.csv.
R070,Results-sentiment,matched,results/summary/final_table.csv,accuracy=0.8508 (plutus8b FPB A/3shot),0.851,Rounds to 0.851; also matches recomputed_metrics.csv.
R071,Results-sentiment,matched,results/summary/final_table.csv,f1_macro=0.5966 (plutus8b FiQA A/0shot),0.597,Rounds to 0.597; also matches recomputed_metrics.csv.
R072,Results-sentiment,matched,results/summary/final_table.csv,accuracy=0.6567 (plutus8b FiQA A/0shot),0.657,Rounds to 0.657; also matches recomputed_metrics.csv.
R073,Results-sentiment,matched,results/summary/final_table.csv,f1_macro=0.4694 (vader FPB),0.469,Rounds to 0.469 exactly.
R074,Results-sentiment,matched,results/summary/final_table.csv,accuracy=0.5536 (vader FPB),0.554,Rounds to 0.554 exactly.
R075,Results-sentiment,matched,results/summary/final_table.csv,f1_macro=0.3863 (vader FiQA),0.386,Rounds to 0.386 exactly.
R076,Results-sentiment,matched,results/summary/final_table.csv,accuracy=0.4228 (vader FiQA),0.423,Rounds to 0.423 exactly.
R077,Results-sentiment,matched,results/summary/bootstrap_ci.csv,95% CI (B=2000) across all rows,95%,Matches stated CI level and B=2000 in bootstrap_ci.csv.
R078,Results-sentiment,matched,results/summary/bootstrap_ci.csv,LLM halfwidths 0.0391-0.0533 (300-sample rows),0.04,Within stated approx ~0.04-0.05 range for 300-sentence LLM runs.
R079,Results-sentiment,matched,results/summary/bootstrap_ci.csv,LLM halfwidths 0.0391-0.0533 (300-sample rows),0.05,Within stated approx ~0.04-0.05 range for 300-sentence LLM runs.
R080,Results-sentiment,matched,results/summary/final_table.csv,n_samples=300 for all LLM rows,300,Matches the 300-sentence LLM subset size used throughout.
R081,Results-sentiment,matched,results/summary/bootstrap_ci.csv,baseline halfwidths mostly 0.0223-0.0303 (FinBERT/FinBERT-tone/FiQA),0.02,Most full-test baseline halfwidths in 0.02-0.03; VADER-FPB (0.0418) is an outlier not covered by the approx range.
R082,Results-sentiment,matched,results/summary/bootstrap_ci.csv,baseline halfwidths mostly 0.0223-0.0303 (FinBERT/FinBERT-tone/FiQA),0.03,Most full-test baseline halfwidths in 0.02-0.03; VADER-FPB (0.0418) is an outlier not covered by the approx range.
R083,Results-sentiment,matched,results/summary/bootstrap_ci.csv,plutus-8B FPB ci_lo=0.7765,0.776,Rounds to 0.776; context_keys mislabeled 'FinBERT' but sentence/value clearly refers to plutus-8B FPB CI.
R084,Results-sentiment,matched,results/summary/bootstrap_ci.csv,plutus-8B FPB ci_hi=0.8726,0.873,Rounds to 0.873; context_keys mislabeled 'FinBERT' but sentence/value clearly refers to plutus-8B FPB CI.
R085,Results-sentiment,matched,results/summary/bootstrap_ci.csv,Qwen2.5-7B FPB ci_lo=0.7842,0.784,Rounds to 0.784; context_keys mislabeled 'FinBERT' but sentence/value clearly refers to Qwen FPB CI.
R086,Results-sentiment,matched,results/summary/bootstrap_ci.csv,Qwen2.5-7B FPB ci_hi=0.8776,0.878,Rounds to 0.878; context_keys mislabeled 'FinBERT' but sentence/value clearly refers to Qwen FPB CI.
R087,Results-sentiment,matched,report/report.md,plutus-8B-instruct (8B model),8B,Model size consistent throughout artifacts and report text.
R088,Results-sentiment,matched,results/summary/final_table.csv,finbert FPB f1_macro=0.9254; finbert FiQA f1_macro=0.482,0.925,Rounds to 0.925 exactly; cross-checked recomputed_metrics.csv.
R089,Results-sentiment,matched,results/summary/final_table.csv,finbert FiQA f1_macro=0.482,0.482,Exact match; cross-checked recomputed_metrics.csv.
R090,Results-sentiment,matched,results/summary/final_table.csv,(0.9254-0.482)*100=44.3 points,44-point,Recomputed gap 44.3 rounds to 44 points.
R091,Results-sentiment,matched,results/summary/final_table.csv,mistral7b model = Mistral-7B-Instruct-v0.3,7B,Model naming/size consistent with final_table.csv.
R092,Results-sentiment,matched,results/summary/final_table.csv,mistral7b FPB A/0shot f1_macro=0.803,0.803,Exact match.
R093,Results-sentiment,matched,results/summary/final_table.csv,mistral7b FPB B/0shot f1_macro=0.6889,0.689,Rounds to 0.689 exactly.
R094,Results-sentiment,matched,results/summary/final_table.csv,(0.803-0.6889)*100=11.4,11.4 pt,Recomputed gap 11.4 matches exactly.
R095,Results-sentiment,matched,results/summary/final_table.csv,plutus8b model = TheFinAI/plutus-8B-instruct,8B,Model naming/size consistent with final_table.csv.
R096,Results-sentiment,matched,results/summary/final_table.csv,plutus8b FiQA A/0shot f1_macro=0.5966,0.597,Rounds to 0.597 exactly.
R097,Results-sentiment,matched,results/summary/final_table.csv,plutus8b FiQA B/0shot f1_macro=0.4322,0.432,Rounds to 0.432 exactly.
R098,Results-sentiment,matched,results/summary/final_table.csv,(0.5966-0.4322)*100=16.4,16.4 pt,Recomputed F1 gap 16.4 matches exactly.
R099,Results-sentiment,matched,results/summary/final_table.csv,(0.6567-0.4)*100=25.7,26 pt,Recomputed accuracy gap 25.7 rounds to 26 (printed-precision rounding).
R100,Results-sentiment,matched,results/summary/final_table.csv,qwen25_7b model = Qwen/Qwen2.5-7B-Instruct,7B,Model naming/size consistent with final_table.csv.
R101,Results-sentiment,matched,results/summary/final_table.csv,qwen25_7b FiQA A/0shot f1_macro=0.5785,0.579,Rounds to 0.579 exactly.
